date,collected,line_out_depth,bulk_chla
2019-10-05,2019-10-05T18:05:36Z,0,2.202480522577315
2019-10-05,2019-10-05T18:05:36Z,5,2.0452536021744057
2019-10-05,2019-10-05T18:05:36Z,10,2.1809497484930676
2019-10-05,2019-10-05T18:05:36Z,20,2.226298747485457
2019-10-05,2019-10-05T18:05:36Z,30,2.079819790928704
2019-11-28,2019-11-28T22:12:56Z,0,0.20864110098302735
2019-11-28,2019-11-28T22:12:56Z,5,0.28129344142471996
2019-11-28,2019-11-28T22:12:56Z,10,0.25099808374750276
2019-11-28,2019-11-28T22:12:56Z,20,0.11409663414621714
2019-11-28,2019-11-28T22:12:56Z,30,0.18793566130497968
2020-05-01,2020-05-01T17:23:17Z,0,6.207585425819534
2020-05-01,2020-05-01T17:23:17Z,5,8.56864710460681
2020-05-01,2020-05-01T17:23:17Z,10,5.827942577967592
2020-05-01,2020-05-01T17:23:17Z,20,6.274717238552894
2020-05-01,2020-05-01T17:23:17Z,30,2.948408593822726
2020-06-08,2020-06-08T16:11:05Z,0,5.0317325952059795
2020-06-08,2020-06-08T16:11:05Z,5,3.327589846318511
2020-06-08,2020-06-08T16:11:05Z,10,1.9178437369183403
2020-06-08,2020-06-08T16:11:05Z,20,1.8209096668210103
2020-06-08,2020-06-08T16:11:05Z,30,0.820822991814534
2020-07-05,2020-07-05T16:53:34Z,0,9.458252100619273
2020-07-05,2020-07-05T16:53:34Z,5,8.361930192745469
2020-07-05,2020-07-05T16:53:34Z,10,6.320219466200224
2020-07-05,2020-07-05T16:53:34Z,20,4.820429325348817
2020-07-05,2020-07-05T16:53:34Z,30,0.6429903974310287
2020-09-04,2020-09-04T20:07:37Z,0,1.828288032302004
2020-09-04,2020-09-04T20:07:37Z,5,2.2269842189760896
2020-09-04,2020-09-04T20:07:37Z,10,1.1779016075200976
2020-09-04,2020-09-04T20:07:37Z,20,0.6053333814470324
2020-09-04,2020-09-04T20:07:37Z,30,0.10249851380645496
2020-10-02,2020-10-02T17:19:17Z,0,4.018014775431743
2020-10-02,2020-10-02T17:19:17Z,5,1.9701357601664753
2020-10-02,2020-10-02T17:19:17Z,10,0.7786841570105175
2020-10-02,2020-10-02T17:19:17Z,20,0.6374326365915897
2020-10-02,2020-10-02T17:19:17Z,30,0.34961432761432376
2021-02-13,2021-02-13T18:37:33Z,0,0.5641573572256106
2021-02-13,2021-02-13T18:37:33Z,5,0.39846324093075064
2021-02-13,2021-02-13T18:37:33Z,10,0.43172006457446105
2021-02-13,2021-02-13T18:37:33Z,20,0.8782245462853222
2021-02-13,2021-02-13T18:37:33Z,30,0.01715874526620947
2021-03-11,2021-03-11T17:31:04Z,0,0.956527253046386
2021-03-11,2021-03-11T17:31:04Z,5,0.5597738720595392
2021-03-11,2021-03-11T17:31:04Z,10,0.5498397862715493
2021-03-11,2021-03-11T17:31:04Z,20,0.4120141912622799
2021-03-11,2021-03-11T17:31:04Z,30,0.42844020760222146
